term,type,canonical,source
infective endocarditis,Condition,infective endocarditis,case_text
autoimmune hemolytic anemia,Condition,autoimmune hemolytic anemia,case_text
parastomal hernia,Condition,parastomal hernia,case_text
pneumothorax,Condition,pneumothorax,case_text
pressure injury,Condition,pressure injury,case_text
pulmonary adenocarcinoma,Condition,pulmonary adenocarcinoma,case_text
SLE,Condition,systemic lupus erythematosus,case_text
tuberculous splenic abscess,Condition,tuberculous splenic abscess,case_text
ventricular septal defect,Condition,ventricular septal defect,case_text
acute coronary syndrome,Condition,acute coronary syndrome,case_text
ACS,Condition,acute coronary syndrome,case_text
anemia,Condition,anemia,case_text
angiosarcoma,Condition,angiosarcoma,case_text
cardiac arrest,Condition,cardiac arrest,case_text
CAS,Condition,coronary artery spasm,case_text
complete AV-B,Condition,complete atrioventricular block,case_text
delayed gastric emptying,Condition,gastroparesis,case_text
disseminated intravascular coagulation,Condition,disseminated intravascular coagulation,case_text
hypertension,Condition,hypertension,case_text
influenza A,Condition,influenza A,case_text
M. pneumoniae infection,Condition,Mycoplasma pneumoniae infection,case_text
pneumonia,Condition,pneumonia,case_text
respiratory failure,Condition,respiratory failure,case_text
Sjogren's Syndrome,Condition,Sjogren's syndrome,case_text
viral septicemia,Condition,viral septicemia,case_text
mucinous pancreatic cystic neoplasm,Condition,mucinous pancreatic cystic neoplasm,case_text
inability to conceive,Condition,infertility,case_text
infertility,Condition,infertility,case_text
ovarian steroid cell tumor NOS,Condition,ovarian steroid cell tumor NOS,case_text
breast cancer,Condition,breast cancer,case_text
ascending aortic aneurysm,Condition,ascending aortic aneurysm,case_text
pseudomass,Condition,pseudomass,case_text
LCHADD,Condition,long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency,case_text
NEC,Condition,necrotizing enterocolitis,case_text
bradycardia,Condition,bradycardia,case_text
ancient schwannoma,Condition,pancreatic schwannoma,case_text
hyperthyroidism,Condition,hyperthyroidism,case_text
GD,Condition,Graves disease,case_text
acute kidney injury,Condition,acute kidney injury,case_text
Buerger's disease,Condition,Buerger disease,case_text
adrenal insufficiency,Condition,adrenal insufficiency,case_text
ischemic colitis,Condition,ischemic colitis,case_text
aspiration pneumonia,Condition,aspiration pneumonia,case_text
obesity,Condition,obesity,case_text
leukocytosis,Condition,leukocytosis,case_text
hypoalbuminemia,Condition,hypoalbuminemia,case_text
gastritis,Condition,gastritis,case_text
duodenal ulceration,Condition,duodenal ulceration,case_text
esophagitis,Condition,esophagitis,case_text
hemolysis,Condition,hemolysis,case_text
preeclampsia,Condition,preeclampsia,case_text
HELLP syndrome,Condition,HELLP syndrome,case_text
acyclovir,Treatment,acyclovir,case_text
alectinib,Treatment,alectinib,case_text
blood transfusion,Treatment,blood transfusion,case_text
chemotherapy,Treatment,chemotherapy,case_text
diltiazem,Treatment,diltiazem,case_text
ethambutol,Treatment,ethambutol,case_text
fluid resuscitation,Treatment,fluid resuscitation,case_text
hydroxychloroquine,Treatment,hydroxychloroquine,case_text
insulin,Treatment,insulin,case_text
intubation,Treatment,intubation,case_text
isoniazid,Treatment,isoniazid,case_text
levothyroxine,Treatment,levothyroxine,case_text
meropenem,Treatment,meropenem,case_text
methylprednisolone,Treatment,methylprednisolone,case_text
oral iron replacement,Treatment,oral iron replacement,case_text
oxcarbazepine,Treatment,oxcarbazepine,case_text
prednisone,Treatment,prednisone,case_text
pyrazinamide,Treatment,pyrazinamide,case_text
rifampin,Treatment,rifampin,case_text
valproic acid,Treatment,valproic acid,case_text
acarbose,Treatment,acarbose,case_text
arbidol,Treatment,arbidol,case_text
aspirin,Treatment,aspirin,case_text
atorvastatin,Treatment,atorvastatin,case_text
clopidogrel,Treatment,clopidogrel,case_text
dupilumab,Treatment,dupilumab,case_text
human immunoglobulin,Treatment,intravenous immunoglobulin,case_text
intravenous immunoglobulin,Treatment,intravenous immunoglobulin,case_text
IVIG,Treatment,intravenous immunoglobulin,case_text
laparoscopic distal pancreatectomy,Treatment,distal pancreatectomy,case_text
laparoscopic gastrojejunostomy,Treatment,gastrojejunostomy,case_text
levofloxacin,Treatment,levofloxacin,case_text
linezolid,Treatment,linezolid,case_text
loxoprofen,Treatment,loxoprofen,case_text
moxifloxacin,Treatment,moxifloxacin,case_text
omeprazole,Treatment,omeprazole,case_text
oseltamivir,Treatment,oseltamivir,case_text
packed red blood cells,Treatment,packed red blood cells,case_text
pantoprazole,Treatment,pantoprazole,case_text
platelet transfusions,Treatment,platelet transfusion,case_text
stent,Treatment,stent,case_text
surgical resection,Treatment,surgical resection,case_text
thymosin alpha-1,Treatment,thymosin alpha-1,case_text
ovarian drilling,Treatment,ovarian drilling,case_text
in vitro fertilization,Treatment,in vitro fertilization,case_text
gonadotropin therapy,Treatment,gonadotropin therapy,case_text
cesarean section,Treatment,cesarean section,case_text
dextrose fluids,Treatment,dextrose fluids,case_text
enteral nutrition,Treatment,enteral nutrition,case_text
triheptanoin,Treatment,triheptanoin,case_text
ampicillin-sulbactam,Treatment,ampicillin-sulbactam,case_text
gentamicin,Treatment,gentamicin,case_text
bowel rest,Treatment,bowel rest,case_text
bowel decompression,Treatment,bowel decompression,case_text
total parental nutrition,Treatment,total parenteral nutrition,case_text
TPN,Treatment,total parenteral nutrition,case_text
MCT oil,Treatment,medium-chain triglyceride oil,case_text
splenectomy,Treatment,splenectomy,case_text
carbimazole,Treatment,carbimazole,case_text
CBZ,Treatment,carbimazole,case_text
intravenous fluids,Treatment,intravenous fluids,case_text
nasogastric decompression,Treatment,nasogastric decompression,case_text
antibiotic therapy,Treatment,antibiotic therapy,case_text
proton pump inhibitor,Treatment,proton pump inhibitor,case_text
laparoscopic Sugarbaker repair,Treatment,Sugarbaker repair,case_text
parastomal hernia repair,Treatment,parastomal hernia repair,case_text
red cell transfusion,Treatment,blood transfusion,case_text
P antigen-negative red cell transfusion,Treatment,P antigen-negative red cell transfusion,case_text
